Name,Type,Base Amount,Measurement,Calories,Total Fat,Saturated Fat,Trans Fat,Poly Fat,Mono Fat,Sodium,Carbs,Fiber,Sugar,Protien
asparagus,veggie,5,spears,15,0,0,0,0,0,10,3,2,1,2
broccoli,veggie,0.5,cup,15,0,0,0,0,0,15,3,1,1,1
celery,veggie,1,cup,15,0,0,0,0,0,80,3,2,1,1
peas,veggie,0.5,cup,60,0,0,0,0,0,380,12,3,4,4
lettuce,veggie,1,cup,10,0,0,0,0,0,0,2,1,1,1
onion,veggie,1,cup,60,0,0,0,0,0,5,15,3,7,2
cucumber,veggie,0.5,cup,10,0,0,0,0,0,0,2,0,1,0
brussel sprouts,veggie,0.5,cup,40,0,0,0,0,0,10,6,4,3,3
cauliflower,veggie,0.5,cup,15,0,0,0,0,0,10,3,1,1,1
spinach,veggie,1,cup,5,0,0,0,0,0,25,1,1,0,1
kale,veggie,1,cup,10,0,0,0,0,0,5,1,1,0,1
green beans,veggie,1,cup,45,0,0,0,0,0,0,10,4,5,2
tomato,veggie,1,roma,10,0,0,0,0,0,0,2,1,2,1
leeks,veggie,1,leek,40,0,0,0,0,0,10,9,1,3,1
oranges,fruits,1,orange,80,0,0,0,0,0,0,19,3,14,1
apples,fruits,1,apple,120,0,0,0,0,0,0,31,5,23,1
bananas,fruits,1,large,120,0,0,0,0,0,0,31,4,17,1
kiwi,fruits,1,kiwi,40,0,0,0,0,0,0,10,2,6,1
grapes,fruits,1,cup,100,0,0,0,0,0,0,27,1,23,1
peaches,fruits,1,peach,70,0,0,0,0,0,0,17,3,15,2
cantaloupe,fruits,1,cup,50,0,0,0,0,0,25,13,1,12,1
strawberries,fruits,1,cup,45,0,0,0,0,0,0,11,3,7,1
blueberries,fruits,0.5,cup,40,0,0,0,0,0,0,11,2,7,1
raspberries,fruits,1,cup,60,1,0,0,0,0,0,15,8,5,1
blackberries,fruits,1,cup,60,0.5,0,0,0,0,0,14,8,7,2
cranberry,fruits,1,cup,45,0,0,0,0,0,0,12,4,4,0
grape fruit,fruits,0.5,grape fruit,45,0,0,0,0,0,0,12,0,0,1
walnuts,nuts,1,cup,780,78,7,0,0,0,0,16,8,3,18
almonds,nuts,1,cup,830,71,5,0,0,0,0,31,18,6,30
brazil nuts,nuts,1,cup,880,89,21,0,0,0,0,16,10,3,19
pecans,nuts,1,cup,750,78,7,0,0,0,0,15,10,4,10
large eggs,protein,1,large,70,5,1.5,0,0,0,70,0,0,0,6
egg whites,protein,1,large,15,0,0,0,0,0,55,0,0,0,4
boiled eggs,protein,1,large,80,5,1.5,0,0,0,60,0,0,0,6
greek yogurt,protein,6,ounces,100,0.5,0,0,0,0,60,6,0,6,17
skim milk,protein,1,cup,90,0,0,0,0,0,135,13,0,12,8
whole milk,protein,1,cup,150,8,4.5,0,0,0,105,12,0,12,8
fish,protein,4,ounces,120,1,0,0,0,0,90,0,0,0,27
tuna,protein,1,can,140,1.5,0,0,0,0,410,0,0,0,32
salmon,protein,4,ounces,230,14,2.5,0,0,0,70,0,0,0,25
beef,protein,4,ounces,170,8,3,0,0,0,70,0,0,0,23
chicken,protein,4,ounces,190,8,2,0,0,0,85,0,0,0,28
turkey,protein,4,ounces,210,8,2.5,0,0,0,115,0,0,0,32
white rice,carbs,0.5,cup,190,0,0,0,0,0,0,43,0,0,4
brown rice,carbs,0.5,cup,110,1,0,0,0,0,0,23,2,0,2
black beans,carbs,1,cup,230,1,0,0,0,0,0,41,15,1,15
kidney beans,carbs,0.5,cup,100,1,0,0,0,0,150,19,7,2,7
pinto beans,carbs,0.5,cup,100,0.5,0,0,0,0,180,18,6,1,6
lentils,carbs,1,cup,230,1,0,0,0,0,0,39,16,4,18
lima beans,carbs,1,cup,600,1,0,0,0,0,30,113,34,15,38
chick peas,carbs,0.5,cup,110,1,0,0,0,0,280,18,6,1,6
white potato,carbs,1,cup,110,0,0,0,0,0,10,26,3,1,3
red potato,carbs,1,cup,300,0,0,0,0,0,40,65,6,4,9
sweet potato,carbs,1,cup,180,0,0,0,0,0,40,42,6,12,4
WW pasta,carbs,1,cup,220,2.5,0,0,0,0,5,45,6,1,9
WW bread,carbs,1,slice,80,1,0,0,0,0,150,14,2,1,4
rye bread,carbs,1,slice,80,1,0,0,0,0,190,15,2,1,3
oats,carbs,1,cup,610,11,2,0,0,0,0,103,17,0,26
olive oil,fats,1,tablespoon,120,14,2,0,0,0,0,0,0,0,0
peanut butter,fats,1,tablespoon,90,8,1.5,0,0,0,75,4,1,1,4
dark chocolate,fats,1,ounces,160,9,5,0,0,0,5,17,2,13,1
